"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatorLevenshtein record1Value","[0] RestaurantNameComparatorLevenshtein record2Value","[0] RestaurantNameComparatorLevenshtein record1PreprocessedValue","[0] RestaurantNameComparatorLevenshtein record2PreprocessedValue","[0] RestaurantNameComparatorLevenshtein similarity","[0] RestaurantNameComparatorLevenshtein postproccesedSimilarity","[1] RestaurantCityComparatorEqual record1Value","[1] RestaurantCityComparatorEqual record2Value","[1] RestaurantCityComparatorEqual record1PreprocessedValue","[1] RestaurantCityComparatorEqual record2PreprocessedValue","[1] RestaurantCityComparatorEqual similarity","[1] RestaurantCityComparatorEqual postproccesedSimilarity","[2] RestaurantPostalCodeComparatorLevenshtein record1Value","[2] RestaurantPostalCodeComparatorLevenshtein record2Value","[2] RestaurantPostalCodeComparatorLevenshtein record1PreprocessedValue","[2] RestaurantPostalCodeComparatorLevenshtein record2PreprocessedValue","[2] RestaurantPostalCodeComparatorLevenshtein similarity","[2] RestaurantPostalCodeComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","bookuber_19407","tripadvisor_80773","0.51875",,"la pagode de cos","hana bento","la pagode de cos","hana bento","0.3125","0.3125","paris","paris","paris","paris","1.0","1.0","75008","75008","75008","75008","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_16656","tripadvisor_56149","0.30000000000000004",,"al punto","cazorla","al punto","cazorla","0.0","0.0","madrid","madrid","madrid","madrid","1.0","1.0","28043","28043","28043","28043","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_23262","tripadvisor_94507","0.275",,"mama und der bulle","chilai ringstrassen galerien","mama und der bulle","chilai ringstrassen galerien","0.25","0.25","wien","vienna","wien","vienna","0.0","0.0","1010","1010","1010","1010","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_15080","tripadvisor_76555","0.41052631578947374",,"intuition gourmande","alice pizza","intuition gourmande","alice pizza","0.1578947368421053","0.1578947368421053","paris","paris","paris","paris","1.0","1.0","75015","75015","75015","75015","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_15405","tripadvisor_72311","0.38235294117647056",,"bofinger","vins des pyrenees","bofinger","vins des pyrenees","0.11764705882352944","0.11764705882352944","paris","paris","paris","paris","1.0","1.0","75004","75004","75004","75004","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_15855","tripadvisor_77451","0.5",,"mansouria","le monsieur sans gene","mansouria","le monsieur sans gene","0.2857142857142857","0.2857142857142857","paris","paris","paris","paris","1.0","1.0","75011","75011","75011","75011","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_7352","tripadvisor_52131","0.38235294117647056",,"super paulette","kebab jean moulin","super paulette","kebab jean moulin","0.11764705882352944","0.11764705882352944","lyon","lyon","lyon","lyon","1.0","1.0","69007","69007","69007","69007","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_21741","tripadvisor_9464","0.25217391304347825",,"alsur café","international soul food","alsur café","international soul food","0.21739130434782605","0.21739130434782605","barcelona","","barcelona","","0.0","0.0","8003","8003","8003","8003","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_24648","tripadvisor_81589","0.34375",,"le petit monceau","yourself","le petit monceau","yourself","0.0625","0.0625","paris","paris","paris","paris","1.0","1.0","75008","75008","75008","75008","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_19703","tripadvisor_96888","0.23999999999999996",,"go!wien","xo noodles","go!wien","xo noodles","0.19999999999999996","0.19999999999999996","wien","vienna","wien","vienna","0.0","0.0","1010","1010","1010","1010","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_17281","tripadvisor_75701","0.5692307692307692",,"le clarence","la puttanesca","le clarence","la puttanesca","0.3846153846153846","0.3846153846153846","paris","paris","paris","paris","1.0","1.0","75008","75008","75008","75008","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_15173","tripadvisor_27600","0.1777777777777778",,"the table von kevin fehling","brook","the table von kevin fehling","brook","0.11111111111111116","0.11111111111111116","hamburg","","hamburg","","0.0","0.0","20457","20457","20457","20457","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_3590","tripadvisor_51581","0.4555555555555555",,"le vivaldi - nicolo e maria","le jaboulay","le vivaldi - nicolo e maria","le jaboulay","0.2222222222222222","0.2222222222222222","lyon","lyon","lyon","lyon","1.0","1.0","69007","69007","69007","69007","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_11737","tripadvisor_51279","0.19545454545454544",,"tacos world - chevreul","uskudar","tacos world - chevreul","uskudar","0.13636363636363635","0.13636363636363635","lyon-7e-arrondissement","lyon","lyon-7e-arrondissement","lyon","0.0","0.0","69007","69007","69007","69007","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_16820","tripadvisor_95412","0.16363636363636366",,"il tempo wallnerstraße","gutruf","il tempo wallnerstraße","gutruf","0.09090909090909094","0.09090909090909094","wien","vienna","wien","vienna","0.0","0.0","1010","1010","1010","1010","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_11350","tripadvisor_60457","0.475",,"figaro pizza bar","panaria calle padilla 88","figaro pizza bar","panaria calle padilla 88","0.25","0.25","madrid","madrid","madrid","madrid","1.0","1.0","28006","28006","28006","28006","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_22113","tripadvisor_51490","0.37241379310344824",,"l'âme soeur","restaurant pizzeria francesco","l'âme soeur","restaurant pizzeria francesco","0.10344827586206895","0.10344827586206895","lyon","lyon","lyon","lyon","1.0","1.0","69003","69003","69003","69003","1.0","1.0"
